,Populism.txt,Reactionism.txt,Class conflict.txt,Social&Political  power.txt,Institution.txt,State.txt,Politics.txt,Government.txt,International relations.txt,Communism.txt,Science.txt,Peer review.txt,Academic publishing.txt,Scientific community.txt,Knowledge.txt,Physics.txt,Computer science.txt,Information theory.txt,Chemistry.txt,Astronomy.txt,Nature.txt,Universe.txt,Matter.txt,Space.txt,Time.txt,Geology.txt,Ecology.txt,Zoology.txt,Oceanography.txt,Meterology.txt,Sport.txt,History of sports.txt,Esports.txt,Game.txt,Tournament.txt,Li Na.txt,Khabib Abdulmanapovic.txt,Chen Long.txt,Park Tae Hwan.txt,Fan Zhen Dong.txt,Sustainable fashion.txt,Fashion.txt,Hip hop fashion.txt,Formal wear.txt,Hanfu.txt,Chanel.txt,Dior.txt,Alexander Mcqueen.txt,Yves Saint Laurent.txt,Edna Mode.txt
abandoned,0.004782814129033352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004976736496203545,0.0,0.0,0.0,0.0,0.004554603636990433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013665227565842837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009702454081024074,0.0,0.0
abbey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009039408913604333,0.0,0.005559999862792521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ability,0.005098704769587234,0.005742738092352309,0.0048022853629976206,0.003258905428975603,0.0,0.0,0.011729587437537945,0.0,0.0,0.0,0.010301814763639536,0.0,0.003823004285672345,0.011235857770104721,0.005305435132036035,0.003009748453469937,0.013212839285452131,0.0,0.007772421210849148,0.0,0.0,0.007253906879743814,0.004533272998090527,0.009691340674308265,0.005709066105429104,0.0,0.0066394688998215375,0.0,0.0,0.0014531254902021833,0.0,0.006695413552288822,0.0,0.027822609032527305,0.0,0.0,0.005144492210319649,0.0,0.0,0.0,0.0,0.0,0.0,0.008066481298190542,0.023853391269960337,0.0,0.007559409460564359,0.0,0.0,0.00819396924516744
abiotic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025732623082548346,0.0,0.0,0.0,0.0,0.0,0.0555999986279252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
able,0.013117289624035165,0.0032831500982013215,0.008236466685872228,0.002794697104527209,0.010341649332678744,0.0,0.008047031683098633,0.004993427338450901,0.0037549818029130513,0.0,0.0,0.0,0.003278444017665785,0.009635388280310324,0.0022748564702012157,0.0,0.0,0.00676947813891116,0.013330588153921291,0.006245701109982526,0.0,0.006220638492017378,0.015550159644586389,0.0,0.014687548499447351,0.005987949448079987,0.00569372291228541,0.004350569499944478,0.0,0.003738413729844805,0.006337738500124376,0.002870849319809134,0.003894692356817991,0.0029824340794095323,0.0,0.0,0.0022058476070848172,0.003060402377863346,0.0,0.0006246348660139746,0.0,0.00529642592592797,0.0,0.0,0.0,0.0,0.009723936544861133,0.00443497268940901,0.007381357045241786,0.0
abolish,0.0,0.00438405083130315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010382207373658327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abolition,0.0,0.011399456805321083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01830506094635066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008998642963933915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010265807348333746,0.0,0.0
absence,0.0,0.0026222419372552946,0.0,0.0,0.0,0.0,0.0,0.003988235135730344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005323549983998867,0.0,0.0,0.0,0.006209932462939885,0.0,0.0,0.0,0.0,0.006949573094418211,0.0,0.005971719213556904,0.0,0.0,0.0,0.004764121946426772,0.0,0.0,0.0035236074681209155,0.0,0.0,0.0,0.0,0.025381435082380246,0.0,0.0,0.0,0.007084067937335788,0.010355304485211162,0.021253194698204293,0.0,0.005612280094021395
absent,0.004782814129033352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017300540255232966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01635716388347033,0.0,0.25122394792198005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013609021230518333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
absolute,0.006393032492301991,0.0,0.0,0.0,0.0,0.0,0.011765754166707394,0.0036505037402130716,0.0,0.0,0.004305657971966057,0.02312507093150131,0.004793490056983952,0.0,0.0033261211148388073,0.007547571599540431,0.016566974297336688,0.039591252405090024,0.04872741567741172,0.0,0.0,0.0,0.0056840634794420915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004739198726730295,0.01296895562353609,0.04316982252892866,0.00513702145863992
absolutely,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006892995987586522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035530947951574916,0.0,0.0,0.0,0.0
absolutism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02111951096339359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008656367780523255,0.0,0.0,0.0
absorbed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04859059195144925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015366258353777633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015429767764619355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
absorbing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012866311541274173,0.0,0.0,0.0,0.0,0.0,0.005559999862792521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abstract,0.0037270420668961413,0.0,0.014041463763025994,0.0,0.0,0.0,0.006859258228529207,0.0042563778680989465,0.012802927014046943,0.0,0.0,0.0,0.0,0.0,0.0038781574564254982,0.004400121051827901,0.009658297560932255,0.028851383004183093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01483363347702956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005525763568126122,0.0,0.0,0.0
abstraction,0.0,0.0035912975456397736,0.0,0.0,0.0,0.0,0.0,0.0,0.008214828155503198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012394236825801411,0.0,0.0,0.004554603636990433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021273197022974064,0.0,0.0,0.0
abundance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03239372796763284,0.0,0.005619364038551958,0.0,0.0,0.0,0.0,0.04114178181960987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
